#age = 20-70
#compuse = when did you start using a computer? 1970-2005
#netuse = when did you start using the internet? 1970-2005
#computers = how many computers do you own? 0-5
#website = do you know how to build a website?
uid,age,compuse,netuse,computers,website,mouse,browser
135,20,2000,1982,1,amateur,touchpad,Firefox 4.0.NaN
136,20,1984,1993,2,sorta,regular,Firefox 3.6.12
137,20,2000,1970,2,sorta,regular,Chrome 7.0.517
138,30,2005,1993,1,sorta,other,Chrome 7.0.517
139,30,1995,1982,2,sorta,touchpad,Chrome 7.0.517
140,20,1984,1970,3,amateur,regular,Firefox 3.6.12
141,30,1995,1982,2,sorta,regular,Chrome 7.0.517
142,30,1995,1993,1,amateur,regular,Firefox 3.6.12
143,20,2005,1982,1,amateur,regular,Firefox 3.6.12
144,20,2005,1982,1,amateur,regular,Firefox 3.5.15
145,20,2000,1993,1,amateur,regular,Chrome 3.0.195
146,20,1984,1970,5,no,regular,Firefox 3.6.12
147,30,2000,1970,1,amateur,trackball,IE 8.0
148,30,1995,1982,2,pro,regular,Firefox 3.6.12
149,20,2005,1982,1,amateur,regular,Chrome 7.0.517
150,20,1995,1982,2,amateur,touchpad,Chrome 7.0.517
151,20,1995,1993,2,sorta,regular,Firefox 3.6.12
152,20,1970,1970,2,no,touchpad,IE 8.0
153,20,2005,1982,1,amateur,regular,Firefox 3.5.15
154,20,1995,1993,2,sorta,trackball,Chrome 7.0.517
155,20,2005,2000,0,no,regular,Firefox 3.0.10
156,20,1995,1970,1,no,regular,Chrome 7.0.517
157,20,2000,1982,1,amateur,regular,Firefox 3.5.15
158,20,2000,1982,2,no,regular,IE 8.0
159,20,2000,1993,3,amateur,regular,Firefox 3.6.12
160,30,2000,1970,2,amateur,regular,Firefox 3.0.19
161,30,2005,1993,1,sorta,other,Chrome 7.0.517
162,30,2000,1993,0,sorta,regular,IE 8.0
163,30,2000,1970,1,sorta,regular,IE 8.0
164,20,1995,1993,2,no,touchpad,IE 8.0
165,20,1995,1982,2,pro,regular,Firefox 3.6.8
166,30,1970,1982,5,pro,touchpad,Firefox 3.6.12
167,20,1995,1970,1,sorta,regular,Firefox 3.6.12
168,20,1995,1993,2,no,touchpad,Firefox 3.6.12
169,20,2000,1970,2,pro,trackball,Firefox 3.0.19
170,20,1984,1993,2,amateur,touchpad,Chrome 7.0.517
171,20,1995,1993,1,sorta,regular,Firefox 3.6.12
172,30,1995,1993,2,sorta,regular,Firefox 3.6.12
173,20,1995,1982,2,sorta,touchpad,Firefox 3.6.12
174,30,1970,1993,3,sorta,touchpad,Chrome 7.0.517
175,20,1995,1993,3,amateur,touchpad,Chrome 7.0.517
