relay,lat,rate,obs,up,down
direct,400.0,150,16,3.498,157.421
direct,400.0,150,17,3.432,157.898
direct,400.0,150,18,3.498,157.421
direct,400.0,150,19,3.498,156.443
direct,400.0,150,20,3.432,158.876
direct,400.0,300,1,3.708,63.562
direct,400.0,300,2,0.691,14.792
direct,400.0,300,3,1.386,83.33
direct,400.0,300,4,1.716,69.704
direct,400.0,300,5,2.376,110.582
direct,400.0,300,6,2.244,118.092
direct,400.0,300,7,4.488,195.306
direct,400.0,300,8,5.28,277.062
direct,400.0,300,9,11.94,275.548
direct,400.0,300,10,9.174,317.94
direct,400.0,300,11,7.26,336.108
direct,400.0,300,12,8.052,357.304
direct,400.0,300,13,7.656,373.958
direct,400.0,300,14,7.986,352.822
direct,400.0,300,15,7.854,402.784
direct,400.0,300,16,8.58,380.378
direct,400.0,300,17,9.372,457.228
direct,400.0,300,18,10.296,406.774
direct,400.0,300,19,6.996,313.722
direct,400.0,300,20,6.864,315.509
direct,450.0,50,1,6.924,123.176
direct,450.0,50,2,0.36,8.393
direct,450.0,50,3,1.254,53.222
direct,450.0,50,4,1.452,53.49
direct,450.0,50,5,1.188,52.917
direct,450.0,50,6,1.254,53.858
direct,450.0,50,7,1.188,54.018
direct,450.0,50,8,1.254,52.857
direct,450.0,50,9,1.188,52.857
direct,450.0,50,10,1.188,52.857
direct,450.0,50,11,1.32,52.857
direct,450.0,50,12,1.188,54.018
direct,450.0,50,13,1.188,52.857
direct,450.0,50,14,1.254,52.284
direct,450.0,50,15,1.254,52.857
direct,450.0,50,16,1.188,54.371
direct,450.0,50,17,1.254,52.504
direct,450.0,50,18,1.188,52.857
direct,450.0,50,19,1.188,53.798
direct,450.0,50,20,1.254,52.857
direct,450.0,150,1,1.59,24.948
direct,450.0,150,2,0.361,14.792
direct,450.0,150,3,0.858,52.99
direct,450.0,150,4,1.584,65.102
direct,450.0,150,5,1.65,65.102
direct,450.0,150,6,2.376,104.77
direct,450.0,150,7,2.838,168.054
direct,450.0,150,8,4.29,210.446
direct,450.0,150,9,6.204,310.37
direct,450.0,150,10,9.372,298.918
direct,450.0,150,11,5.016,156.974
direct,450.0,150,12,3.432,158.547
direct,450.0,150,13,3.564,157.033
direct,450.0,150,14,3.432,158.306
direct,450.0,150,15,3.498,157.033
direct,450.0,150,16,3.498,157.033
direct,450.0,150,17,3.432,158.547
direct,450.0,150,18,3.564,157.033
direct,450.0,150,19,3.432,158.365
direct,450.0,150,20,3.498,157.033
direct,450.0,300,1,4.176,73.295
direct,450.0,300,2,0.361,14.792
direct,450.0,300,3,0.858,53.05
direct,450.0,300,4,1.518,65.162
direct,450.0,300,5,2.31,72.732
direct,450.0,300,6,2.046,112.036
direct,450.0,300,7,2.97,161.998
direct,450.0,300,8,4.356,222.558
direct,450.0,300,9,6.468,317.94
direct,450.0,300,10,9.768,463.284
direct,450.0,300,11,15.576,629.229
direct,450.0,300,12,11.286,321.842
direct,450.0,300,13,6.93,315.003
direct,450.0,300,14,6.798,315.003
direct,450.0,300,15,6.996,313.489
direct,450.0,300,16,6.864,316.075
direct,450.0,300,17,6.864,314.943
direct,450.0,300,18,6.864,313.429
direct,450.0,300,19,6.93,317.971
direct,450.0,300,20,6.93,311.915
direct,500.0,50,1,7.782,140.064
direct,500.0,50,2,0.36,0.21
direct,500.0,50,3,0.396,37.083
direct,500.0,50,4,1.848,64.751
direct,500.0,50,5,1.32,55.157
direct,500.0,50,6,1.188,54.59
direct,500.0,50,7,1.188,52.069
direct,500.0,50,8,1.188,53.583
direct,500.0,50,9,1.188,53.076
direct,500.0,50,10,1.188,53.583
direct,500.0,50,11,1.188,52.069
direct,500.0,50,12,1.122,53.076
direct,500.0,50,13,1.188,53.583
direct,500.0,50,14,1.188,53.583
direct,500.0,50,15,1.188,53.076
direct,500.0,50,16,1.188,52.069
direct,500.0,50,17,1.188,53.076
direct,500.0,50,18,1.188,53.583
