relay,lat,rate,obs,up,down
st.nosteg.1,150.0,300,12,22.02,399.996
st.nosteg.1,150.0,300,13,21.27,393.16
st.nosteg.1,150.0,300,14,22.35,396.036
st.nosteg.1,150.0,300,15,21.19,402.24
st.nosteg.1,150.0,300,16,22.704,402.766
st.nosteg.1,150.0,300,17,22.298,382.912
st.nosteg.1,150.0,300,18,21.954,399.766
st.nosteg.1,150.0,300,19,22.836,391.922
st.nosteg.1,150.0,300,20,22.152,398.842
st.nosteg.1,200.0,50,1,7.212,106.486
st.nosteg.1,200.0,50,2,5.02,118.994
st.nosteg.1,200.0,50,3,7.23,126.562
st.nosteg.1,200.0,50,4,7.296,125.192
st.nosteg.1,200.0,50,5,5.574,122.75
st.nosteg.1,200.0,50,6,7.914,126.766
st.nosteg.1,200.0,50,7,6.612,121.4
st.nosteg.1,200.0,50,8,5.928,126.562
st.nosteg.1,200.0,50,9,7.362,125.528
st.nosteg.1,200.0,50,10,5.31,121.4
st.nosteg.1,200.0,50,11,7.296,125.39
st.nosteg.1,200.0,50,12,7.23,125.528
st.nosteg.1,200.0,50,13,6.612,125.942
st.nosteg.1,200.0,50,14,5.994,124.152
st.nosteg.1,200.0,50,15,7.296,123.738
st.nosteg.1,200.0,50,16,5.376,124.672
st.nosteg.1,200.0,50,17,7.23,126.12
st.nosteg.1,200.0,50,18,7.23,122.914
st.nosteg.1,200.0,50,19,5.31,124.014
st.nosteg.1,200.0,50,20,7.428,126.622
st.nosteg.1,200.0,150,1,5.066,78.318
st.nosteg.1,200.0,150,2,10.974,241.302
st.nosteg.1,200.0,150,3,13.446,235.526
st.nosteg.1,200.0,150,4,13.248,226.642
st.nosteg.1,200.0,150,5,11.856,236.458
st.nosteg.1,200.0,150,6,12.564,231.104
st.nosteg.1,200.0,150,7,14.196,231.4
st.nosteg.1,200.0,150,8,11.526,235.614
st.nosteg.1,200.0,150,9,12.762,230.422
st.nosteg.1,200.0,150,10,14.196,240.754
st.nosteg.1,200.0,150,11,11.592,230.368
st.nosteg.1,200.0,150,12,12.894,234.288
st.nosteg.1,200.0,150,13,12.762,234.894
st.nosteg.1,200.0,150,14,13.998,232.37
st.nosteg.1,200.0,150,15,11.526,235.564
st.nosteg.1,200.0,150,16,13.578,234.25
st.nosteg.1,200.0,150,17,13.248,226.642
st.nosteg.1,200.0,150,18,11.526,239.744
st.nosteg.1,200.0,150,19,13.578,232.498
st.nosteg.1,200.0,150,20,13.38,229.932
st.nosteg.1,200.0,300,1,5.232,83.25
st.nosteg.1,200.0,300,2,19.282,388.703
st.nosteg.1,200.0,300,3,22.982,396.612
st.nosteg.1,200.0,300,4,21.94,390.61
st.nosteg.1,200.0,300,5,21.746,401.582
st.nosteg.1,200.0,300,6,21.874,388.224
st.nosteg.1,200.0,300,7,23.94,395.574
st.nosteg.1,200.0,300,8,20.232,400.148
st.nosteg.1,200.0,300,9,23.808,392.502
st.nosteg.1,200.0,300,10,20.93,390.75
st.nosteg.1,200.0,300,11,21.19,401.4
st.nosteg.1,200.0,300,12,23.114,394.26
st.nosteg.1,200.0,300,13,20.926,391.574
st.nosteg.1,200.0,300,14,22.704,398.194
st.nosteg.1,200.0,300,15,21.614,389.552
st.nosteg.1,200.0,300,16,22.558,400.786
st.nosteg.1,200.0,300,17,22.378,389.624
st.nosteg.1,200.0,300,18,21.308,402.964
st.nosteg.1,200.0,300,19,23.808,386.698
st.nosteg.1,200.0,300,20,20.996,400.578
st.nosteg.1,250.0,50,1,10.652,152.812
st.nosteg.1,250.0,50,2,5.67,125.796
st.nosteg.1,250.0,50,3,6.06,123.792
st.nosteg.1,250.0,50,4,6.546,126.088
st.nosteg.1,250.0,50,5,6.678,122.344
st.nosteg.1,250.0,50,6,6.612,124.266
st.nosteg.1,250.0,50,7,7.362,124.542
st.nosteg.1,250.0,50,8,5.928,127.294
st.nosteg.1,250.0,50,9,6.81,120.968
st.nosteg.1,250.0,50,10,6.744,125.616
st.nosteg.1,250.0,50,11,7.164,123.858
st.nosteg.1,250.0,50,12,6.678,128.124
st.nosteg.1,250.0,50,13,5.862,119.968
st.nosteg.1,250.0,50,14,6.612,126.056
st.nosteg.1,250.0,50,15,6.48,126.716
st.nosteg.1,250.0,50,16,7.362,123.06
st.nosteg.1,250.0,50,17,6.546,126.056
st.nosteg.1,250.0,50,18,5.928,121.238
st.nosteg.1,250.0,50,19,6.48,126.024
st.nosteg.1,250.0,50,20,6.678,125.294
st.nosteg.1,250.0,150,1,5.984,65.938
st.nosteg.1,250.0,150,2,5.352,134.572
st.nosteg.1,250.0,150,3,13.012,248.478
st.nosteg.1,250.0,150,4,13.856,234.834
st.nosteg.1,250.0,150,5,12.13,234.546
st.nosteg.1,250.0,150,6,13.512,238.134
st.nosteg.1,250.0,150,7,12.762,228.2
st.nosteg.1,250.0,150,8,11.592,240.53
st.nosteg.1,250.0,150,9,14.408,236.254
st.nosteg.1,250.0,150,10,11.932,229.542
st.nosteg.1,250.0,150,11,13.512,238.7
st.nosteg.1,250.0,150,12,12.828,237.042
st.nosteg.1,250.0,150,13,13.106,226.418
st.nosteg.1,250.0,150,14,12.696,230.176
st.nosteg.1,250.0,150,15,12.064,242.208
st.nosteg.1,250.0,150,16,12.894,234.264
st.nosteg.1,250.0,150,17,13.512,236.62
st.nosteg.1,250.0,150,18,13.314,234.676
st.nosteg.1,250.0,150,19,12.422,232.79
st.nosteg.1,250.0,150,20,11.8,232.922
st.nosteg.1,250.0,300,1,8.406,92.64
st.nosteg.1,250.0,300,2,15.118,367.104
st.nosteg.1,250.0,300,3,22.76,409.654
st.nosteg.1,250.0,300,4,22.284,391.102
st.nosteg.1,250.0,300,5,23.034,385.922
st.nosteg.1,250.0,300,6,21.808,408.356
st.nosteg.1,250.0,300,7,21.812,394.856
st.nosteg.1,250.0,300,8,21.746,397.452
st.nosteg.1,250.0,300,9,22.36,398.056
st.nosteg.1,250.0,300,10,22.218,380.876
st.nosteg.1,250.0,300,11,22.096,410.962
st.nosteg.1,250.0,300,12,22.218,396.606
st.nosteg.1,250.0,300,13,20.93,395.392
st.nosteg.1,250.0,300,14,22.77,384.356
st.nosteg.1,250.0,300,15,21.874,408.482
st.nosteg.1,250.0,300,16,22.638,395.444
st.nosteg.1,250.0,300,17,22.708,391.514
st.nosteg.1,250.0,300,18,21.322,389.112
st.nosteg.1,250.0,300,19,22.36,402.384
st.nosteg.1,250.0,300,20,21.826,397.15
st.nosteg.1,300.0,50,1,12.346,190.7
st.nosteg.1,300.0,50,2,1.37,49.43
st.nosteg.1,300.0,50,3,6.06,122.666
st.nosteg.1,300.0,50,4,6.546,125.726
st.nosteg.1,300.0,50,5,7.23,124.456
st.nosteg.1,300.0,50,6,6.612,124.18
st.nosteg.1,300.0,50,7,5.928,126.404
st.nosteg.1,300.0,50,8,6.612,121.428
st.nosteg.1,300.0,50,9,6.612,127.484
st.nosteg.1,300.0,50,10,7.296,121.428
st.nosteg.1,300.0,50,11,6.612,122.974
st.nosteg.1,300.0,50,12,6.678,128.194
st.nosteg.1,300.0,50,13,5.928,122.91
st.nosteg.1,300.0,50,14,6.546,123.936
st.nosteg.1,300.0,50,15,6.612,127.484
st.nosteg.1,300.0,50,16,7.23,122.666
st.nosteg.1,300.0,50,17,6.546,122.91
st.nosteg.1,300.0,50,18,5.928,126.404
st.nosteg.1,300.0,50,19,6.678,121.428
st.nosteg.1,300.0,50,20,6.546,127.544
st.nosteg.1,300.0,150,1,5.884,59.388
st.nosteg.1,300.0,150,2,2.946,113.568
st.nosteg.1,300.0,150,3,14.46,249.622
st.nosteg.1,300.0,150,4,12.012,227.704
st.nosteg.1,300.0,150,5,12.144,230.7
st.nosteg.1,300.0,150,6,13.592,234.35
st.nosteg.1,300.0,150,7,12.894,237.94
st.nosteg.1,300.0,150,8,13.432,231.676
st.nosteg.1,300.0,150,9,12.762,239.808
st.nosteg.1,300.0,150,10,12.96,230.856
st.nosteg.1,300.0,150,11,12.828,239.856
st.nosteg.1,300.0,150,12,12.078,230.646
st.nosteg.1,300.0,150,13,12.276,230.104
st.nosteg.1,300.0,150,14,12.696,237.378
st.nosteg.1,300.0,150,15,13.79,237.882
st.nosteg.1,300.0,150,16,13.234,234.254
st.nosteg.1,300.0,150,17,12.276,230.704
st.nosteg.1,300.0,150,18,12.144,230.918
st.nosteg.1,300.0,150,19,13.724,244.146
st.nosteg.1,300.0,150,20,12.828,233.226
st.nosteg.1,300.0,300,1,7.61,86.304
st.nosteg.1,300.0,300,2,5.79,162.94
st.nosteg.1,300.0,300,3,24.408,467.462
st.nosteg.1,300.0,300,4,23.61,317.94
st.nosteg.1,300.0,300,5,20.19,380.014
st.nosteg.1,300.0,300,6,23.18,420.892
st.nosteg.1,300.0,300,7,22.548,428.462
st.nosteg.1,300.0,300,8,24.596,417.734
st.nosteg.1,300.0,300,9,22.968,396.008
st.nosteg.1,300.0,300,10,22.086,392.064
st.nosteg.1,300.0,300,11,22.76,406.824
st.nosteg.1,300.0,300,12,20.506,400.252
st.nosteg.1,300.0,300,13,21.888,396.438
st.nosteg.1,300.0,300,14,23.18,391.386
st.nosteg.1,300.0,300,15,22.086,398.362
st.nosteg.1,300.0,300,16,22.298,393.866
st.nosteg.1,300.0,300,17,21.954,399.386
st.nosteg.1,300.0,300,18,21.402,395.972
st.nosteg.1,300.0,300,19,23.294,392.466
st.nosteg.1,300.0,300,20,20.652,397.67
st.nosteg.1,350.0,50,1,11.512,152.476
st.nosteg.1,350.0,50,2,4.092,94.89
st.nosteg.1,350.0,50,3,6.612,125.344
st.nosteg.1,350.0,50,4,5.994,123.19
st.nosteg.1,350.0,50,5,7.23,123.012
st.nosteg.1,350.0,50,6,6.612,125.776
st.nosteg.1,350.0,50,7,6.612,126.858
st.nosteg.1,350.0,50,8,5.994,121.056
st.nosteg.1,350.0,50,9,7.098,126.868
st.nosteg.1,350.0,50,10,6.546,121.972
st.nosteg.1,350.0,50,11,5.928,126.218
st.nosteg.1,350.0,50,12,6.546,124.916
st.nosteg.1,350.0,50,13,7.164,121.918
st.nosteg.1,350.0,50,14,6.546,125.654
st.nosteg.1,350.0,50,15,5.862,126.282
st.nosteg.1,350.0,50,16,6.546,121.952
st.nosteg.1,350.0,50,17,7.164,124.05
st.nosteg.1,350.0,50,18,6.612,126.24
st.nosteg.1,350.0,50,19,5.862,121.886
st.nosteg.1,350.0,50,20,6.546,126.31
st.nosteg.1,350.0,150,1,6.216,77.606
st.nosteg.1,350.0,150,2,1.236,52.352
st.nosteg.1,350.0,150,3,11.686,244.994
st.nosteg.1,350.0,150,4,11.72,231.534
st.nosteg.1,350.0,150,5,13.38,236.646
st.nosteg.1,350.0,150,6,13.04,234.148
st.nosteg.1,350.0,150,7,11.998,225.762
st.nosteg.1,350.0,150,8,14.064,236.23
st.nosteg.1,350.0,150,9,12.488,235.696
st.nosteg.1,350.0,150,10,12.828,235.126
st.nosteg.1,350.0,150,11,13.38,229.332
st.nosteg.1,350.0,150,12,12.484,238.272
st.nosteg.1,350.0,150,13,12.488,229.22
st.nosteg.1,350.0,150,14,12.63,235.754
st.nosteg.1,350.0,150,15,11.866,229.338
st.nosteg.1,350.0,150,16,13.856,234.51
st.nosteg.1,350.0,150,17,12.762,237.218
st.nosteg.1,350.0,150,18,13.314,229.698
st.nosteg.1,350.0,150,19,12.616,241.042
st.nosteg.1,350.0,150,20,13.38,233.654
st.nosteg.1,350.0,300,1,7.89,92.798
st.nosteg.1,350.0,300,2,2.292,126.538
st.nosteg.1,350.0,300,3,20.786,430.062
st.nosteg.1,350.0,300,4,24.104,401.998
st.nosteg.1,350.0,300,5,22.162,394.766
st.nosteg.1,350.0,300,6,21.888,396.638
st.nosteg.1,350.0,300,7,24.154,299.525
st.nosteg.1,350.0,300,8,17.738,407.332
st.nosteg.1,350.0,300,9,26.576,416.35
st.nosteg.1,350.0,300,10,22.222,417.126
st.nosteg.1,350.0,300,11,21.398,403.3
st.nosteg.1,350.0,300,12,22.954,396.984
st.nosteg.1,350.0,300,13,21.628,388.938
st.nosteg.1,350.0,300,14,21.94,406.618
st.nosteg.1,350.0,300,15,21.874,384.288
st.nosteg.1,350.0,300,16,23.388,399.468
st.nosteg.1,350.0,300,17,21.958,400.09
st.nosteg.1,350.0,300,18,22.006,403.136
st.nosteg.1,350.0,300,19,22.836,389.078
st.nosteg.1,350.0,300,20,22.69,403.298
st.nosteg.1,400.0,50,1,13.464,183.204
st.nosteg.1,400.0,50,2,1.832,79.25
st.nosteg.1,400.0,50,3,6.612,125.684
st.nosteg.1,400.0,50,4,6.612,126.47
st.nosteg.1,400.0,50,5,6.48,121.342
st.nosteg.1,400.0,50,6,6.678,123.682
st.nosteg.1,400.0,50,7,7.296,124.678
st.nosteg.1,400.0,50,8,5.994,126.466
st.nosteg.1,400.0,50,9,5.928,124.988
st.nosteg.1,400.0,50,10,7.23,125.44
st.nosteg.1,400.0,50,11,6.612,121.472
st.nosteg.1,400.0,50,12,7.23,123.132
st.nosteg.1,400.0,50,13,5.862,129.298
st.nosteg.1,400.0,50,14,5.928,122.908
st.nosteg.1,400.0,50,15,7.098,126.244
st.nosteg.1,400.0,50,16,6.06,120.446
st.nosteg.1,400.0,50,17,7.164,127.296
st.nosteg.1,400.0,50,18,6.612,123.506
st.nosteg.1,400.0,50,19,7.164,122.58
st.nosteg.1,400.0,50,20,6.06,127.02
st.nosteg.1,400.0,150,1,6.612,83.084
st.nosteg.1,400.0,150,2,1.204,78.774
st.nosteg.1,400.0,150,3,12.488,236.702
st.nosteg.1,400.0,150,4,11.46,236.256
st.nosteg.1,400.0,150,5,13.498,231.028
st.nosteg.1,400.0,150,6,13.106,232.186
st.nosteg.1,400.0,150,7,13.366,239.668
st.nosteg.1,400.0,150,8,12.422,232.338
st.nosteg.1,400.0,150,9,13.168,234.95
st.nosteg.1,400.0,150,10,12.21,241.966
st.nosteg.1,400.0,150,11,12.224,235.554
st.nosteg.1,400.0,150,12,13.564,235.916
st.nosteg.1,400.0,150,13,12.842,235.822
st.nosteg.1,400.0,150,14,13.432,233.478
st.nosteg.1,400.0,150,15,12.356,231.348
st.nosteg.1,400.0,150,16,13.234,241.484
st.nosteg.1,400.0,150,17,12.488,228.846
st.nosteg.1,400.0,150,18,13.724,241.224
st.nosteg.1,400.0,150,19,11.918,235.432
st.nosteg.1,400.0,150,20,12.974,235.062
st.nosteg.1,400.0,300,1,10.786,135.42
st.nosteg.1,400.0,300,2,1.006,37.152
st.nosteg.1,400.0,300,3,11.078,343.798
st.nosteg.1,400.0,300,4,25.166,414.04
st.nosteg.1,400.0,300,5,22.232,407.284
st.nosteg.1,400.0,300,6,22.898,391.182
st.nosteg.1,400.0,300,7,21.812,400.844
st.nosteg.1,400.0,300,8,21.548,396.884
st.nosteg.1,400.0,300,9,22.544,393.588
st.nosteg.1,400.0,300,10,22.312,384.134
st.nosteg.1,400.0,300,11,21.944,406.186
st.nosteg.1,400.0,300,12,22.134,400.556
st.nosteg.1,400.0,300,13,22.312,381.512
st.nosteg.1,400.0,300,14,21.746,408.35
st.nosteg.1,400.0,300,15,22.832,395.972
st.nosteg.1,400.0,300,16,21.482,395.272
st.nosteg.1,400.0,300,17,22.346,400.166
st.nosteg.1,400.0,300,18,21.416,388.404
st.nosteg.1,400.0,300,19,21.746,395.666
st.nosteg.1,400.0,300,20,23.03,403.764
st.nosteg.1,450.0,50,1,15.426,196.364
st.nosteg.1,450.0,50,2,1.006,10.822
st.nosteg.1,450.0,50,3,3.774,124.218
st.nosteg.1,450.0,50,4,6.546,123.428
st.nosteg.1,450.0,50,5,6.758,122.844
st.nosteg.1,450.0,50,6,7.084,125.006
st.nosteg.1,450.0,50,7,6.546,123.492
st.nosteg.1,450.0,50,8,6.06,126.37
st.nosteg.1,450.0,50,9,6.678,125.658
st.nosteg.1,450.0,50,10,6.744,121.084
st.nosteg.1,450.0,50,11,5.862,125.348
st.nosteg.1,450.0,50,12,7.442,122.63
st.nosteg.1,450.0,50,13,7.084,127.45
st.nosteg.1,450.0,50,14,6.546,122.574
st.nosteg.1,450.0,50,15,6.06,124.422
st.nosteg.1,450.0,50,16,6.546,126.52
st.nosteg.1,450.0,50,17,5.994,124.012
st.nosteg.1,450.0,50,18,7.848,121.394
st.nosteg.1,450.0,50,19,6.612,126.468
st.nosteg.1,450.0,50,20,6.612,123.394
st.nosteg.1,450.0,150,1,6.15,63.362
st.nosteg.1,450.0,150,2,0.356,0.81
st.nosteg.1,450.0,150,3,3.874,134.042
st.nosteg.1,450.0,150,4,12.066,268.378
st.nosteg.1,450.0,150,5,14.72,239.26
st.nosteg.1,450.0,150,6,12.696,235.498
st.nosteg.1,450.0,150,7,13.026,235.738
st.nosteg.1,450.0,150,8,12.144,229.34
st.nosteg.1,450.0,150,9,12.696,237.198
st.nosteg.1,450.0,150,10,12.96,233.886
st.nosteg.1,450.0,150,11,12.696,240.944
st.nosteg.1,450.0,150,12,13.04,236.168
st.nosteg.1,450.0,150,13,12.894,237.148
st.nosteg.1,450.0,150,14,12.078,233.242
st.nosteg.1,450.0,150,15,13.852,237.436
st.nosteg.1,450.0,150,16,12.96,234.958
st.nosteg.1,450.0,150,17,12.012,236.21
st.nosteg.1,450.0,150,18,13.172,232.198
st.nosteg.1,450.0,150,19,12.762,239.206
st.nosteg.1,450.0,150,20,13.79,234.728
st.nosteg.1,450.0,300,1,9.79,113.348
st.nosteg.1,450.0,300,2,0.194,0.75
st.nosteg.1,450.0,300,3,6.178,243.05
st.nosteg.1,450.0,300,4,20.39,430.916
st.nosteg.1,450.0,300,5,25.076,387.906
st.nosteg.1,450.0,300,6,21.336,403.096
st.nosteg.1,450.0,300,7,22.232,389.432
st.nosteg.1,450.0,300,8,21.6,403.348
st.nosteg.1,450.0,300,9,22.902,383.264
st.nosteg.1,450.0,300,10,21.482,406.93
st.nosteg.1,450.0,300,11,21.954,394.966
st.nosteg.1,450.0,300,12,23.436,392.726
st.nosteg.1,450.0,300,13,21.468,400.472
st.nosteg.1,450.0,300,14,21.968,388.612
st.nosteg.1,450.0,300,15,21.534,403.06
st.nosteg.1,450.0,300,16,22.496,396.64
st.nosteg.1,450.0,300,17,21.6,394.908
st.nosteg.1,450.0,300,18,21.902,398.72
st.nosteg.1,450.0,300,19,22.02,394.284
st.nosteg.1,450.0,300,20,22.884,394.812
st.nosteg.1,500.0,50,1,17.784,229.75
st.nosteg.1,500.0,50,2,0.194,1.12
st.nosteg.1,500.0,50,3,2.194,89.386
st.nosteg.1,500.0,50,4,5.928,123.612
st.nosteg.1,500.0,50,5,7.23,122.21
st.nosteg.1,500.0,50,6,6.612,124.718
st.nosteg.1,500.0,50,7,6.546,125.58
st.nosteg.1,500.0,50,8,6.744,125.58
st.nosteg.1,500.0,50,9,6.48,121.038
st.nosteg.1,500.0,50,10,6.678,126.818
st.nosteg.1,500.0,50,11,6.612,123.822
st.nosteg.1,500.0,50,12,6.678,122.552
st.nosteg.1,500.0,50,13,6.612,127.094
st.nosteg.1,500.0,50,14,6.612,123.936
st.nosteg.1,500.0,50,15,6.612,122.276
st.nosteg.1,500.0,50,16,6.678,125.58
st.nosteg.1,500.0,50,17,6.678,123.724
st.nosteg.1,500.0,50,18,6.546,123.04
st.nosteg.1,500.0,50,19,7.296,127.746
st.nosteg.1,500.0,50,20,6.14,124.962
st.nosteg.1,500.0,150,1,6.268,70.668
st.nosteg.1,500.0,150,2,0.976,0.81
st.nosteg.1,500.0,150,3,4.006,159.78
st.nosteg.1,500.0,150,4,13.128,260.808
st.nosteg.1,500.0,150,5,13.054,235.186
st.nosteg.1,500.0,150,6,12.96,235.96
st.nosteg.1,500.0,150,7,12.064,237.174
st.nosteg.1,500.0,150,8,14.064,227.064
st.nosteg.1,500.0,150,9,12.696,237.3
st.nosteg.1,500.0,150,10,12.214,241.634
st.nosteg.1,500.0,150,11,13.38,227.29
st.nosteg.1,500.0,150,12,12.894,236.006
st.nosteg.1,500.0,150,13,13.512,239.574
st.nosteg.1,500.0,150,14,11.932,230.28
st.nosteg.1,500.0,150,15,12.828,244.43
st.nosteg.1,500.0,150,16,12.828,226.526
st.nosteg.1,500.0,150,17,12.894,235.674
st.nosteg.1,500.0,150,18,13.512,245.602
st.nosteg.1,500.0,150,19,12.762,234.16
st.nosteg.1,500.0,150,20,11.446,236.9
st.nosteg.1,500.0,300,1,12.276,164.138
st.nosteg.1,500.0,300,2,2.026,0.066
st.nosteg.1,500.0,300,3,4.764,263.074
st.nosteg.1,500.0,300,4,20.956,379.504
st.nosteg.1,500.0,300,5,23.288,391.294
st.nosteg.1,500.0,300,6,21.19,395.246
st.nosteg.1,500.0,300,7,21.058,375.08
st.nosteg.1,500.0,300,8,21.544,403.07
st.nosteg.1,500.0,300,9,22.638,373.692
st.nosteg.1,500.0,300,10,20.926,390.17
st.nosteg.1,500.0,300,11,22.316,394.456
st.nosteg.1,500.0,300,12,20.86,379.366
st.nosteg.1,500.0,300,13,20.662,389.604
st.nosteg.1,500.0,300,14,22.836,401.658
st.nosteg.1,500.0,300,15,22.086,392.71
st.nosteg.1,500.0,300,16,22.02,388.23
st.nosteg.1,500.0,300,17,21.888,376.71
st.nosteg.1,500.0,300,18,22.374,407.084
st.nosteg.1,500.0,300,19,20.096,374.924
st.nosteg.1,500.0,300,20,23.732,385.178
st.nosteg.1,550.0,50,1,16.152,236.226
st.nosteg.1,550.0,50,2,2.042,1.38
st.nosteg.1,550.0,50,3,1.996,84.844
st.nosteg.1,550.0,50,4,6.546,124.982
st.nosteg.1,550.0,50,5,6.206,126.022
st.nosteg.1,550.0,50,6,6.546,122.198
st.nosteg.1,550.0,50,7,5.716,123.778
st.nosteg.1,550.0,50,8,7.914,124.33
st.nosteg.1,550.0,50,9,6.546,124.41
st.nosteg.1,550.0,50,10,6.206,125.502
st.nosteg.1,550.0,50,11,5.782,120.96
st.nosteg.1,550.0,50,12,6.612,124.33
st.nosteg.1,550.0,50,13,7.914,124.33
st.nosteg.1,550.0,50,14,6.612,125.062
st.nosteg.1,550.0,50,15,6.074,124.33
st.nosteg.1,550.0,50,16,5.848,125.844
st.nosteg.1,550.0,50,17,7.164,124.054
st.nosteg.1,550.0,50,18,7.23,125.632
st.nosteg.1,550.0,50,19,6.678,121.204
st.nosteg.1,550.0,50,20,6.14,125.252
st.nosteg.1,550.0,150,1,6.268,93.774
st.nosteg.1,550.0,150,2,2.254,0.29
st.nosteg.1,550.0,150,3,1.236,73.416
st.nosteg.1,550.0,150,4,8.972,277.49
st.nosteg.1,550.0,150,5,16.132,240.716
st.nosteg.1,550.0,150,6,13.234,234.68
st.nosteg.1,550.0,150,7,12.064,236.442
st.nosteg.1,550.0,150,8,13.384,235.884
st.nosteg.1,550.0,150,9,12.682,234.928
st.nosteg.1,550.0,150,10,12.616,236.418
st.nosteg.1,550.0,150,11,13.318,235.07
st.nosteg.1,550.0,150,12,13.512,227.936
st.nosteg.1,550.0,150,13,12.55,243.322
st.nosteg.1,550.0,150,14,11.998,232.378
st.nosteg.1,550.0,150,15,13.464,239.474
st.nosteg.1,550.0,150,16,12.748,235.17
st.nosteg.1,550.0,150,17,12.55,236.538
st.nosteg.1,550.0,150,18,13.446,234.468
st.nosteg.1,550.0,150,19,13.168,235.684
st.nosteg.1,550.0,150,20,12.148,235.824
st.nosteg.1,550.0,300,1,10.55,179.806
st.nosteg.1,550.0,300,2,3.334,0.75
st.nosteg.1,550.0,300,3,1.566,114.36
st.nosteg.1,550.0,300,4,15.084,380.904
st.nosteg.1,550.0,300,5,21.42,356.838
st.nosteg.1,550.0,300,6,19.724,386.632
st.nosteg.1,550.0,300,7,23.264,361.334
st.nosteg.1,550.0,300,8,20.208,329.308
st.nosteg.1,550.0,300,9,19.954,421.246
st.nosteg.1,550.0,300,10,21.222,363.676
st.nosteg.1,550.0,300,11,20.726,349.314
st.nosteg.1,550.0,300,12,20.042,389.936
st.nosteg.1,550.0,300,13,21.214,386.704
st.nosteg.1,550.0,300,14,21.53,373.772
st.nosteg.1,550.0,300,15,21.07,352.32
st.nosteg.1,550.0,300,16,19.666,396.414
st.nosteg.1,550.0,300,17,23.354,365.474
st.nosteg.1,550.0,300,18,19.048,335.334
st.nosteg.1,550.0,300,19,19.976,395.886
st.nosteg.1,550.0,300,20,22.03,384.632
st.nosteg.1,600.0,50,1,17.976,256.14
st.nosteg.1,600.0,50,2,3.214,0.066
st.nosteg.1,600.0,50,3,1.962,89.058
st.nosteg.1,600.0,50,4,7.362,127.814
st.nosteg.1,600.0,50,5,5.244,122.932
st.nosteg.1,600.0,50,6,7.23,123.502
st.nosteg.1,600.0,50,7,6.206,126.332
st.nosteg.1,600.0,50,8,6.334,124.446
st.nosteg.1,600.0,50,9,7.296,121.632
st.nosteg.1,600.0,50,10,6.758,126.952
st.nosteg.1,600.0,50,11,5.65,120.704
st.nosteg.1,600.0,50,12,7.164,123.988
st.nosteg.1,600.0,50,13,6.758,125.652
st.nosteg.1,600.0,50,14,5.782,126.822
st.nosteg.1,600.0,50,15,6.824,124.674
st.nosteg.1,600.0,50,16,6.886,124.998
st.nosteg.1,600.0,50,17,7.362,121.664
st.nosteg.1,600.0,50,18,6.14,126.984
st.nosteg.1,600.0,50,19,6.4,122.38
st.nosteg.1,600.0,50,20,7.23,126.204
st.nosteg.1,600.0,150,1,6.824,121.27
st.nosteg.1,600.0,150,2,2.772,8.28
st.nosteg.1,600.0,150,3,1.006,79.732
st.nosteg.1,600.0,150,4,9.236,242.3
st.nosteg.1,600.0,150,5,14.608,255.114
st.nosteg.1,600.0,150,6,12.29,231.008
st.nosteg.1,600.0,150,7,13.3,243.438
st.nosteg.1,600.0,150,8,13.102,235.274
st.nosteg.1,600.0,150,9,13.318,235.076
st.nosteg.1,600.0,150,10,13.3,236.1
st.nosteg.1,600.0,150,11,11.87,232.432
st.nosteg.1,600.0,150,12,13.168,236.864
st.nosteg.1,600.0,150,13,13.168,234.978
st.nosteg.1,600.0,150,14,12.568,226.074
st.nosteg.1,600.0,150,15,11.654,234.832
st.nosteg.1,600.0,150,16,13.464,237.892
st.nosteg.1,600.0,150,17,12.602,234.24
st.nosteg.1,600.0,150,18,14.13,230.812
st.nosteg.1,600.0,150,19,11.936,241.42
st.nosteg.1,600.0,150,20,13.036,235.952
st.nosteg.1,600.0,300,1,11.186,147.234
st.nosteg.1,600.0,300,2,2.448,0.88
st.nosteg.1,600.0,300,3,1.468,121.93
st.nosteg.1,600.0,300,4,16.164,351.636
st.nosteg.1,600.0,300,5,18.696,306.7
st.nosteg.1,600.0,300,6,17.472,385.878
st.nosteg.1,600.0,300,7,22.392,317.646
st.nosteg.1,600.0,300,8,17.748,378.542
st.nosteg.1,600.0,300,9,22.448,322.918
st.nosteg.1,600.0,300,10,15.702,371.878
st.nosteg.1,600.0,300,11,22.05,305.724
st.nosteg.1,600.0,300,12,15.702,360.12
st.nosteg.1,600.0,300,13,20.338,305.922
st.nosteg.1,600.0,300,14,19.85,359.632
st.nosteg.1,600.0,300,15,17.768,305.606
st.nosteg.1,600.0,300,16,20.874,359.034
st.nosteg.1,600.0,300,17,15.296,332.93
st.nosteg.1,600.0,300,18,24.86,341.91
st.nosteg.1,600.0,300,19,17.382,340.588
st.nosteg.1,600.0,300,20,20.438,352.122
st.http.2,100.0,50,1,19.395,116.38
st.http.2,100.0,50,2,30.545,182.623
st.http.2,100.0,50,3,34.439,253.748
st.http.2,100.0,50,4,33.047,398.726
st.http.2,100.0,50,5,26.508,271.746
st.http.2,100.0,50,6,35.863,421.778
st.http.2,100.0,50,7,35.705,474.358
st.http.2,100.0,50,8,36.623,474.114
st.http.2,100.0,50,9,31.945,388.225
st.http.2,100.0,50,10,28.154,328.607
st.http.2,100.0,50,11,19.742,219.503
